OriginPage	LinkToPage	LinkToPageStatus	LinkToPageTitle	OriginPageDate	OriginPageTitle
http://todomvc.com/examples/knockoutjs/	http://knockmeout.net/	ok	Ryan Niemeyer	02.09.2018  10:14:05	Knockout.js • TodoMVC
http://todomvc.com/examples/knockoutjs_require/	http://knockmeout.net/	ok	Ryan Niemeyer	02.09.2018  10:14:05	Knockout.js • TodoMVC
http://todomvc.com/examples/knockoutjs/	http://todomvc.com/examples/knockoutjs/node_modules/todomvc-common/base.js	ok		02.09.2018  10:14:05	Knockout.js • TodoMVC
http://todomvc.com/examples/knockoutjs/	http://todomvc.com/examples/knockoutjs/node_modules/knockout/build/output/knockout-latest.js	ok		02.09.2018  10:14:05	Knockout.js • TodoMVC
http://todomvc.com/examples/knockoutjs/	http://todomvc.com/examples/knockoutjs/node_modules/director/build/director.js	ok		02.09.2018  10:14:05	Knockout.js • TodoMVC
http://todomvc.com/examples/knockoutjs/	http://todomvc.com/examples/knockoutjs/js/app.js	ok		02.09.2018  10:14:05	Knockout.js • TodoMVC
http://todomvc.com/examples/emberjs/	http://todomvc.com/examples/emberjs/assets/vendor-7b5c98520910afa58d74e05ec86cd873.css	ok		02.09.2018  10:14:05	Ember TodoMVC
http://todomvc.com/examples/emberjs/	http://todomvc.com/examples/emberjs/assets/todomvc-d41d8cd98f00b204e9800998ecf8427e.css	no info to return		02.09.2018  10:14:05	Ember TodoMVC
http://todomvc.com/examples/emberjs/	http://todomvc.com/examples/emberjs/assets/vendor-ce652699ca527d40a18c9c5586658cde.js	ok		02.09.2018  10:14:05	Ember TodoMVC
http://todomvc.com/examples/emberjs/	http://todomvc.com/examples/emberjs/assets/todomvc-8144cc5f479447dfbcfb6cea22b40476.js	ok		02.09.2018  10:14:05	Ember TodoMVC
http://todomvc.com/examples/knockoutjs_require	http://todomvc.com/examples/knockoutjs_require/	ok	Knockout.js • TodoMVC		KnockoutJS + RequireJS
http://todomvc.com/examples/canjs_require	http://todomvc.com/examples/canjs_require/	ok	CanJS + RequireJS • TodoMVC		CanJS + RequireJS
http://todomvc.com/examples/ractive	http://todomvc.com/examples/ractive/	ok	Ractive.js • TodoMVC		Ractive.js
